#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      278.3   113.7    93.8   163.7   180.5   262.2   297.1   318.4   335.4   356.3   386.5   441.7   586.0  1169.3  3497.8  29847.7    30000  1778766856295  1778766866460
read      280.2   124.5   101.3   164.2   180.2   261.3   296.7   318.6   336.4   358.8   391.4   454.4   624.3  1235.3  4320.7  29880.8    30005  1778766867979  1778766878111
read      279.2   131.5   101.3   168.8   185.1   264.6   298.5   319.2   335.4   354.5   380.7   430.1   566.8  1155.9  4070.7  30018.3    30010  1778766879627  1778766889729
read      282.8   129.7    93.8   163.4   180.6   264.4   300.4   322.1   340.0   362.4   394.4   456.3   622.3  1582.9  4314.8  30093.0    30015  1778766891246  1778766901351
read      285.6   133.7   101.3   162.1   179.5   267.0   305.5   328.4   345.9   369.7   402.3   465.5   626.8  1320.3  4648.0  30011.5    30020  1778766902874  1778766912991
read      285.5   126.8    93.8   165.5   183.0   267.0   303.5   325.5   342.8   365.5   398.1   461.3   625.2  1500.3  4039.2  30075.4    30025  1778766914509  1778766924612
read      283.2   141.5   101.3   164.0   179.1   262.1   300.5   323.5   341.7   365.0   398.1   465.6   637.1  1644.8  4640.0  30102.0    30030  1778766926132  1778766936264
read      268.4   141.8   101.3   161.5   174.6   245.7   282.3   304.5   321.1   343.3   373.8   435.8   618.9  1558.6  4897.6  30045.8    30035  1778766937783  1778766947894
read      286.9   125.8    93.8   166.4   183.4   266.0   303.2   326.2   344.1   368.3   402.7   475.3   649.8  1433.5  3869.4  30080.0    30040  1778766949414  1778766959520
read      286.4   141.3    93.8   160.6   176.6   261.9   301.4   326.6   346.6   373.8   416.2   493.1   689.6  1410.2  4344.5  30080.2    30045  1778766961037  1778766971159
read      279.4   143.4    93.8   152.0   167.0   251.6   292.8   318.9   341.1   371.2   417.6   501.2   713.4  1551.9  4306.7  30124.6    30050  1778766972682  1778766982787
