Random waveform, random seed
Total number of intervals = 120 (8794, 40063, 46840, 31371, 23169, 33123, 74093, 43746, 109504, 55683, 74168, 50019, 7093, 8709, 77678, 39158, 72064, 68204, 89201, 71080, 26386, 23025, 26336, 33536, 83654, 88285, 11070, 82737, 106734, 24635, 109672, 54427, 67566, 86347, 91773, 40716, 104275, 56083, 83595, 39137, 30782, 96113, 14665, 8153, 92867, 61763, 91275, 84624, 12890, 104685, 25802, 77930, 70019, 37571, 56571, 92477, 15059, 25506, 50922, 70175, 29286, 50147, 64756, 95414, 26577, 87793, 41309, 94067, 73425, 63130, 66354, 83690, 60643, 59558, 105037, 50454, 71944, 59429, 33193, 88062, 46874, 66794, 18645, 24428, 83450, 23341, 90106, 62399, 79400, 97184, 54232, 39714, 67459, 67304, 90627, 98099, 107108, 9823, 20059, 60275, 75431, 67923, 91363, 87246, 85280, 7187, 16998, 65430, 85379, 106654, 30909, 24090, 87501, 75423, 43571, 108470, 107055, 55599, 32411, 70582)
Average QPS expected = 60164
Timestamp start: 1778954570704
Timestamp end: 1778956371021

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      331.4   341.9   137.8   203.8   219.7   301.9   337.0   357.3   371.8   391.3   416.8   461.7   734.0  7174.0 10978.3   8771.7     8794
read      379.7   343.7   127.6   188.3   205.9   331.9   393.0   429.3   459.0   495.6   544.9   635.7  1196.9  5642.6  9527.5  40040.9    40063
read      318.8   104.1   127.6   185.4   200.5   306.6   356.7   383.4   401.9   425.0   454.5   498.4   587.9   741.9  2002.9  46784.0    46840
read      320.9    97.1   127.6   191.8   208.7   314.4   356.7   379.2   395.6   414.6   437.0   475.4   549.2   704.8  2349.3  31268.5    31371
read      364.5   251.8   127.6   192.7   211.5   336.1   394.9   427.6   452.0   480.1   513.8   573.1   816.4  3481.0 10369.9  23145.9    23169
read      397.4   299.0   127.6   188.4   207.9   355.4   431.9   473.8   502.2   535.4   580.1   652.4  1198.0  4633.1  7831.6  33191.3    33123
read      360.5   435.5   127.6   181.0   195.3   294.3   347.9   379.6   403.0   433.9   479.4   561.4  2423.0  6425.8  9513.7  73906.0    74093
read      316.5   107.5   127.6   184.5   199.4   306.0   354.1   379.6   397.7   419.5   446.8   489.6   576.3   770.1  2784.9  43792.5    43746
read      420.0   381.3   127.6   196.1   214.6   317.2   372.2   412.5   451.8   518.6   670.9  1089.8  2142.9  3473.4  7878.7 109444.1   109504
read      314.8   116.9   127.6   181.2   195.4   298.2   350.8   379.2   399.5   424.1   455.9   502.8   608.1   831.3  3404.4  55784.7    55683
read      315.7   118.7   127.6   180.7   194.7   292.6   346.4   377.2   400.0   428.3   466.1   527.6   667.5   989.0  2397.3  74108.2    74168
