Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778960935070
Timestamp end: 1778962735448

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      292.2   151.8   148.8   205.0   219.4   279.3   305.5   320.1   333.2   346.9   368.1   401.0   491.0  1379.0  8075.7   6842.4     6927
read      717.2  1534.8   127.6   194.0   214.0   319.7   374.5   415.1   452.0   510.5   804.9  3205.4  8907.8 12248.1 15399.7  52892.2    52892
read      411.2   333.8   127.6   194.9   213.3   325.3   388.2   431.6   470.3   533.8   650.1   938.8  1841.1  3310.9  7739.7  98783.6    98921
read      323.1   129.9   127.6   181.9   196.6   303.5   358.6   388.7   410.3   436.4   470.0   528.7   669.9  1092.5  2359.7  61095.6    61129
read      320.0   112.9   127.6   185.6   201.1   311.2   358.0   382.3   399.1   420.7   447.9   489.3   585.5   766.8  3794.3  40550.0    40613
read      319.5   111.3   127.6   181.6   196.3   305.1   358.1   385.9   404.6   429.6   460.7   508.3   627.8   859.2  1757.1  53376.8    53226
read      329.4   120.2   127.6   189.6   206.0   320.5   368.8   394.3   412.6   434.3   461.2   500.5   590.0   792.3  3396.1  38587.0    38560
read      438.3   431.7   127.6   196.9   216.4   326.1   384.9   426.7   465.3   531.6   677.1  1158.8  2449.2  4173.4  8034.6 103422.4   103465
read      464.8   489.1   137.8   203.1   222.8   334.5   393.7   436.1   477.2   548.3   725.5  1350.0  2705.7  5243.2  8472.3 104696.6   104758
read      369.8   230.2   127.6   190.1   206.8   314.3   374.0   412.9   446.2   493.4   573.3   729.7  1298.2  2309.9  5191.6  94780.2    94759
read      328.7   106.6   127.6   191.3   208.0   319.9   368.5   394.1   412.2   433.4   460.4   499.8   585.9   736.2  3073.3  37947.4    37799
read      304.7   135.9   148.8   202.2   217.4   291.4   323.4   342.0   356.3   372.5   395.3   431.5   524.6  1773.6  6893.8   8325.8     8296
read      602.7  1050.5   127.6   193.9   214.2   330.3   390.3   432.8   470.5   530.9   674.8  2731.2  5931.6  8787.1 13295.8  69496.8    69443
read      337.4   118.3   137.8   207.7   227.6   324.8   365.2   388.2   403.9   426.0   453.2   494.9   618.4  1418.9  3209.2  12574.6    12517
read      398.9   337.2   127.6   188.4   206.6   339.8   404.1   445.5   477.4   521.9   597.0   727.1  1556.4  5072.2  8029.5  43466.8    43591
read      344.9   141.2   127.6   197.1   218.0   328.7   374.8   400.4   421.0   445.4   476.4   531.4   682.3  1728.3  3809.1  20444.4    20430
read      730.0  1169.9   127.6   229.4   256.7   371.0   437.8   493.4   548.5   661.6  1485.5  3384.0  6390.9  9280.7 13465.8  93643.4    93758
read      325.3   170.8   137.8   198.8   215.9   307.1   347.4   370.4   387.6   406.9   433.8   476.3   667.3  1985.8  7713.0  10482.2    10485
read      366.2   249.1   137.8   196.0   217.0   343.0   395.7   425.0   445.8   468.5   500.2   552.4   752.4  4437.7  7744.3  16478.8    16518
read      610.1  1003.1   127.6   200.8   224.7   347.5   411.4   460.4   505.8   582.0   757.8  2531.7  5862.0  8764.2 12318.0  83237.6    83230
read      294.0   145.3   148.8   202.5   214.3   278.6   308.2   325.4   339.6   356.5   377.7   416.3   515.3  1524.3  7786.5   5509.2     5484
