Random waveform, supplied seed
Total number of intervals = 330 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498)
Average QPS expected = 57280
Timestamp start: 1778964666007
Timestamp end: 1778966316389

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      305.0   103.0   148.8   210.2   225.8   295.0   322.6   338.6   349.6   365.3   385.1   418.4   503.0  1379.7  3927.0   6876.6     6927
read      579.9   798.6   127.6   201.9   226.4   393.9   494.8   559.5   614.1   685.6   828.8  1477.0  4586.4  8894.8 10765.3  52803.8    52892
read      415.7   560.2   127.6   194.3   212.9   319.5   376.7   415.3   449.1   497.8   582.2   750.9  2689.6  8416.5 11384.2  98861.4    98921
read      314.8   113.3   127.6   183.8   198.4   298.3   350.5   378.9   398.7   422.9   453.2   498.7   601.1   773.3  2329.8  61136.0    61129
read      324.3   100.5   127.6   191.9   208.4   316.5   363.7   388.0   404.0   425.0   450.4   487.9   563.4   698.0  1993.8  40557.2    40613
read      317.8   112.7   127.6   185.8   200.6   303.3   355.1   382.3   400.9   424.1   452.8   495.1   589.1   893.2  2950.7  53305.0    53226
read      319.2   119.0   137.8   189.4   205.7   311.0   356.1   379.5   395.8   415.3   439.1   475.4   548.0   751.5  3273.1  38418.6    38560
read      350.2   189.5   127.6   187.6   203.4   302.3   358.7   395.1   426.2   469.7   543.2   681.8  1087.4  1882.9  3071.7 103424.2   103465
read      343.6   175.9   127.6   186.9   202.2   299.9   356.0   392.5   423.2   465.8   534.8   658.6   957.3  1658.6  3290.2 104821.2   104758
read      323.7   137.3   127.6   183.4   198.1   293.6   347.0   379.5   403.5   436.2   484.2   568.5   761.2  1136.8  2666.3  95103.4    94759
read      318.3   112.6   127.6   190.1   206.3   310.2   355.2   378.0   394.3   413.1   436.4   471.3   542.6   848.8  4328.1  37700.4    37799
read      309.9   102.9   148.8   208.2   224.0   299.8   331.2   348.5   362.8   378.3   399.0   432.4   529.4  1233.3  3059.0   8340.4     8296
read      758.3  1276.6   127.6   199.3   220.1   318.1   380.8   433.6   498.3   768.0  2183.2  3757.9  6564.3  9259.5 12223.1  69445.2    69443
read      327.0   101.3   127.6   208.1   226.3   315.7   353.2   373.4   389.5   406.6   431.3   469.9   596.7  1369.1  2854.2  12500.6    12517
read      340.4   165.4   127.6   187.8   204.1   316.6   368.5   396.5   418.2   445.1   483.8   563.4   796.5  2114.7  4832.8  43395.0    43591
read      345.5   123.4   127.6   203.4   222.5   332.4   378.6   404.2   424.5   447.5   475.7   523.3   638.8  1227.1  3220.8  20379.8    20430
read      526.5   804.4   127.6   198.4   219.1   327.5   387.7   430.1   468.9   532.3   682.7  1587.4  4590.0  8127.5 10181.4  93570.2    93758
read      313.0   109.3   137.8   209.2   225.1   302.0   334.0   351.9   365.9   382.3   402.7   437.0   533.4  1319.0  3206.7  10425.4    10485
read      356.7   158.9   137.8   206.0   226.1   341.8   390.5   416.3   434.2   456.5   484.0   529.2   692.9  2230.4  4344.3  16651.4    16518
read      710.0  1141.3   127.6   208.1   229.1   333.2   398.8   456.7   524.0   724.6  1675.8  3243.9  6031.5  8640.0 11872.1  83142.8    83230
read      293.5   140.7   148.8   208.1   221.1   279.7   305.6   319.8   332.1   344.9   364.8   396.3   502.1  2094.0  7583.5   5529.8     5484
read      706.2   967.5   127.6   191.5   209.5   330.4   426.3   561.7   875.2  1295.0  1829.1  2781.8  4528.7  8059.4 10244.2  55388.6    55611
read      349.8   159.2   137.8   199.8   219.8   332.1   380.5   407.1   428.3   453.0   484.0   533.1   683.5  2258.2  4266.5  20803.6    20774
read      527.7   785.8   127.6   201.2   222.6   336.9   395.9   437.9   477.9   541.5   678.0  1613.6  4423.2  7999.9 10755.2  96610.4    96726
read      326.2   100.1   127.6   195.3   213.0   320.6   363.1   385.5   400.7   420.2   443.5   478.7   551.1   770.6  2298.8  32374.6    32442
