Random waveform, supplied seed
Total number of intervals = 330 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498)
Average QPS expected = 57280
Timestamp start: 1778962964068
Timestamp end: 1778964614449

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      310.2   133.8   137.8   212.5   228.4   297.7   327.5   344.8   359.3   374.7   397.5   431.9   513.4  1320.5  4591.4   6896.4     6927
read      475.3   576.5   127.6   190.2   208.2   344.2   424.9   481.6   537.6   624.4   765.6  1134.5  2666.2  7906.3 12327.1  52610.2    52892
read      350.6   183.7   127.6   189.9   206.0   306.7   362.3   397.7   428.2   470.7   541.5   664.9   996.9  1884.9  3895.5  99005.8    98921
read      314.1   112.6   127.6   181.9   196.2   296.8   349.0   377.3   397.5   422.3   454.5   504.1   625.4   806.2  1672.8  61086.0    61129
read      321.8   104.7   127.6   188.1   203.6   311.9   359.2   384.6   402.1   424.8   452.8   495.1   589.5   746.0  2014.0  40532.2    40613
read      318.4   122.3   127.6   184.4   199.2   302.2   353.8   381.6   401.2   425.7   456.9   503.3   614.9   907.5  3100.7  53179.8    53226
read      323.6   107.0   127.6   190.3   206.3   314.5   360.8   385.5   402.5   424.3   451.2   492.6   584.7   741.7  2896.1  38615.6    38560
read      388.3   291.4   127.6   192.5   210.0   312.9   368.8   407.8   445.5   506.0   625.0   867.5  1580.2  2879.6  7634.4 103255.0   103465
read      390.7   287.6   127.6   193.7   211.2   312.9   368.2   406.3   443.7   506.6   634.7   898.0  1621.6  2712.9  7009.4 104734.6   104758
read      355.5   211.2   127.6   189.5   205.5   307.9   365.1   401.4   433.2   477.4   548.8   672.5  1063.4  2415.4  6374.1  94728.0    94759
read      322.3   114.3   127.6   189.0   205.1   313.1   358.6   382.9   399.9   421.6   448.9   490.8   582.7   807.5  3638.3  37886.4    37799
read      306.5   109.3   148.8   200.6   215.6   293.2   326.7   345.2   360.2   376.3   400.1   437.7   560.5  1760.7  3060.2   8310.6     8296
read      602.7  1030.8   127.6   191.2   208.5   313.6   376.5   419.0   456.5   516.3   816.1  2759.5  5738.6  8495.7 10999.9  69251.6    69443
read      329.9   139.0   137.8   200.1   217.8   314.7   356.8   380.6   397.8   419.3   446.7   491.0   635.5  1708.8  3482.7  12437.2    12517
read      377.5   234.0   127.6   190.2   208.0   337.6   400.7   438.6   468.6   507.6   566.7   662.7  1077.2  3338.1  7156.9  43589.6    43591
read      356.0   178.5   137.8   194.8   214.9   334.9   388.0   418.1   439.5   465.1   498.7   552.9   739.2  2613.2  5521.3  20352.2    20430
read      716.9  1117.6   127.6   222.1   242.3   357.7   422.9   472.5   530.8   674.8  1656.9  3292.5  5877.1  8640.6 10233.0  93856.4    93758
read      318.8   131.4   137.8   200.0   217.6   304.0   341.0   362.6   377.9   397.1   424.0   466.6   616.1  1517.9  4054.2  10461.4    10485
read      361.5   255.9   137.8   197.2   217.2   337.2   388.9   416.3   435.0   458.7   488.3   536.5   744.6  4269.9  7925.5  16504.0    16518
