Random waveform, random seed
Total number of intervals = 120 (33741, 63626, 6153, 70102, 76436, 48453, 47762, 84320, 51357, 33195, 10837, 44484, 10082, 57964, 80354, 64602, 34684, 50986, 85344, 39487, 31056, 82936, 105728, 18879, 67647, 76613, 82263, 22970, 56968, 48160, 62998, 66787, 6028, 65483, 28540, 105511, 50585, 65396, 42147, 5798, 90281, 61752, 14765, 14060, 30031, 76840, 22746, 72869, 62281, 79354, 61587, 75385, 37281, 11855, 36983, 50848, 87503, 93239, 16192, 58425, 58215, 96939, 36103, 62946, 32061, 60857, 86906, 36690, 68079, 95402, 32592, 63586, 78866, 57706, 51056, 107026, 93240, 25721, 91205, 58143, 45166, 32836, 68273, 87645, 72959, 99624, 5066, 77539, 6387, 19378, 52897, 72684, 100068, 14122, 30183, 102468, 36493, 108778, 38862, 21347, 68703, 84155, 10585, 12570, 83274, 102564, 78183, 14824, 66467, 95413, 9526, 58648, 35552, 38250, 32747, 43793, 52836, 108469, 89925, 65554)
Average QPS expected = 55657
Timestamp start: 1778958776906
Timestamp end: 1778960577219

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      380.1   257.8   127.6   196.3   216.9   343.9   399.6   433.2   459.9   493.5   542.0   634.7  1080.4  3475.7  8053.8  33674.7    33741
read      443.2   728.4   127.6   187.0   202.7   311.8   366.8   399.6   426.3   459.8   507.9   649.1  4358.0  8080.9 11975.6  63575.3    63626
read      293.6   112.0   137.8   200.6   213.1   281.0   311.4   328.7   341.5   357.5   376.9   412.1   515.9  1357.8  3945.6   6169.1     6153
read      458.0   759.1   127.6   188.3   204.4   313.5   368.5   401.9   429.7   465.5   523.3   720.7  4613.6  8362.0 10950.7  70124.0    70102
read      328.9   133.5   127.6   185.6   200.4   303.5   360.4   392.4   416.3   445.8   485.5   552.3   718.6  1181.1  3234.5  76463.0    76436
read      322.2   111.6   127.6   186.0   201.2   309.7   361.4   388.6   407.2   430.3   459.5   502.2   600.4   800.8  3039.8  48441.0    48453
read      323.2   110.4   127.6   187.3   202.5   310.9   362.3   389.4   408.1   431.0   460.2   503.1   607.2   788.7  1972.7  47753.0    47762
read      340.2   159.5   127.6   187.8   203.2   308.0   365.8   399.2   425.8   459.1   505.6   597.9   847.3  1531.6  3747.9  84325.3    84320
read      326.3   115.7   127.6   186.7   201.8   311.4   365.4   394.1   414.8   438.3   468.8   515.9   629.3   844.3  2631.9  51401.3    51357
read      331.2   102.6   127.6   193.7   211.5   324.2   369.4   393.6   410.5   431.0   457.9   497.4   584.7   744.2  2415.3  33278.9    33195
read      330.6   139.7   137.8   202.8   220.7   316.9   357.1   379.3   395.7   415.5   440.6   481.8   619.6  1756.4  4312.9  10839.5    10837
read      342.3   167.6   127.6   190.4   207.2   321.9   374.6   402.8   424.5   449.8   482.8   541.7   761.1  1790.7  6204.8  44542.8    44484
